Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy,Suspense",13,404,8.99,12,23 min. per ep.,Spring 2022
3-gatsu no Lion 2nd Season,"Drama,Slice of Life",14,533,8.96,22,25 min. per ep.,Fall 2017
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Action,Comedy,Sci-Fi",19,939,8.93,1,1 hr. 50 min.,
Gintama.,"Action,Comedy,Sci-Fi",12,735,8.99,12,24 min. per ep.,Winter 2017
Koe no Katachi,,15,19,8.96,1,2 hr. 10 min.,
Mo Dao Zu Shi: Wanjie Pian,"Action,Drama,Supernatural",49,2505,8.70,12,24 min. per ep.,
Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi",50,17,8.70,25,24 min. per ep.,Fall 2006
Gintama,"Action,Comedy,Sci-Fi",16,127,8.95,201,24 min. per ep.,Spring 2006
Ginga Eiyuu Densetsu,"Drama,Sci-Fi",11,700,9.03,110,26 min. per ep.,
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action,Drama,Romance",48,763,8.71,4,30 min. per ep.,
Vinland Saga,"Action,Adventure,Drama",43,102,8.73,24,24 min. per ep.,Summer 2019
Hajime no Ippo,,42,376,8.74,75,23 min. per ep.,Fall 2000
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Action,Fantasy,Supernatural",45,724,8.72,1,2 hr. 2 min.,
Violet Evergarden Movie,"Drama,Fantasy,Slice of Life",17,422,8.95,1,2 hr. 20 min.,
86 Part 2,"Action,Drama,Sci-Fi",44,647,8.72,12,23 min. per ep.,Fall 2021
Mushishi Zoku Shou 2nd Season,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",41,827,8.74,10,23 min. per ep.,Fall 2014
Haikyuu!! To the Top Part 2,,98,244,8.54,12,23 min. per ep.,Fall 2020
Kara no Kyoukai Movie 5: Mujun Rasen,"Action,Drama,Mystery,Romance,Supernatural,Suspense",99,896,8.54,1,1 hr. 54 min.,
Clannad: After Story,"Drama,Romance,Supernatural",18,105,8.94,24,24 min. per ep.,Fall 2008
Mushishi Zoku Shou,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",47,731,8.71,10,24 min. per ep.,Spring 2014
